evidence_id,case_id,fir_number,evidence_number,evidence_type,description,collected_by_officer_id,collection_location,storage_location,chain_of_custody_status,created_at
EVID-000059,CASE-000059,FIR/2026/PS-CHE-002/00059,EVID/00059/0059,DIGITAL,USB flash drive with encrypted documents,OFFICER-00014,"Near Landmark 73, Mylapore, Chennai","Locker-38, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2026-07-27T22:53:35.154045
EVID-000060,CASE-000060,FIR/2024/PS-LKO-001/00060,EVID/00060/0060,BIOLOGICAL,Blood sample collected from vehicle seat,OFFICER-00042,"Near Landmark 25, Hazratganj, Lucknow","Locker-46, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2026-02-12T04:53:35.154070
EVID-000061,CASE-000061,FIR/2024/PS-MUM-001/00061,EVID/00061/0061,FORENSIC,Toxicology vial from post-mortem,OFFICER-00013,"Near Landmark 49, Colaba, Mumbai City","Locker-12, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2026-05-01T04:53:35.154115
EVID-000062,CASE-000062,FIR/2025/PS-MUM-002/00062,EVID/00062/0062,DOCUMENTARY,Fraudulent cheque leaf,OFFICER-00020,"Near Landmark 21, Bandra West, Mumbai Suburban","Locker-45, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-08-08T17:53:35.154143
EVID-000063,CASE-000063,FIR/2024/PS-PUN-001/00063,EVID/00063/0063,PHYSICAL,Fabric sample with blood stains,OFFICER-00042,"Near Landmark 46, Shivajinagar, Pune","Locker-12, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-06-30T02:53:35.154185
EVID-000064,CASE-000064,FIR/2024/PS-DEL-001/00064,EVID/00064/0064,DOCUMENTARY,Fake identification card,OFFICER-00015,"Near Landmark 24, Connaught Place, Central Delhi","Locker-4, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-06-17T00:53:35.154231
EVID-000065,CASE-000065,FIR/2024/PS-DEL-002/00065,EVID/00065/0065,PHYSICAL,Recovered sharp metallic tool,OFFICER-00026,"Near Landmark 26, Hauz Khas, South Delhi","Locker-5, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-07-19T15:53:35.154260
EVID-000066,CASE-000066,FIR/2024/PS-BLR-001/00066,EVID/00066/0066,PHYSICAL,Recovered sharp metallic tool,OFFICER-00034,"Near Landmark 13, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-43, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-07-20T18:53:35.154300
EVID-000067,CASE-000067,FIR/2025/PS-BLR-002/00067,EVID/00067/0067,FORENSIC,Toxicology vial from post-mortem,OFFICER-00040,"Near Landmark 75, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-28, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2026-08-08T14:53:35.154333
EVID-000068,CASE-000068,FIR/2025/PS-CHE-001/00068,EVID/00068/0068,PHYSICAL,Shoe impression cast,OFFICER-00012,"Near Landmark 67, T. Nagar, Chennai","Locker-30, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-05-24T02:53:35.154362
EVID-000069,CASE-000069,FIR/2026/PS-CHE-002/00069,EVID/00069/0069,PHYSICAL,Latent fingerprint lifted from door handle,OFFICER-00034,"Near Landmark 38, Mylapore, Chennai","Locker-30, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-11-03T06:53:35.154388
EVID-000070,CASE-000070,FIR/2026/PS-LKO-001/00070,EVID/00070/0070,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00032,"Near Landmark 44, Hazratganj, Lucknow","Locker-49, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2025-07-13T13:53:35.154413
EVID-000071,CASE-000071,FIR/2025/PS-MUM-001/00071,EVID/00071/0071,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00047,"Near Landmark 21, Colaba, Mumbai City","Locker-15, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2025-12-14T19:53:35.154441
EVID-000072,CASE-000072,FIR/2025/PS-MUM-002/00072,EVID/00072/0072,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00006,"Near Landmark 85, Bandra West, Mumbai Suburban","Locker-20, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2025-11-09T02:53:35.154467
EVID-000073,CASE-000073,FIR/2026/PS-PUN-001/00073,EVID/00073/0073,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00038,"Near Landmark 97, Shivajinagar, Pune","Locker-15, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-08-15T07:53:35.154492
EVID-000074,CASE-000074,FIR/2025/PS-DEL-001/00074,EVID/00074/0074,FORENSIC,Toxicology vial from post-mortem,OFFICER-00048,"Near Landmark 12, Connaught Place, Central Delhi","Locker-18, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2025-11-29T04:53:35.154520
EVID-000075,CASE-000075,FIR/2025/PS-DEL-002/00075,EVID/00075/0075,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00018,"Near Landmark 95, Hauz Khas, South Delhi","Locker-21, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-06-29T14:53:35.154550
EVID-000076,CASE-000076,FIR/2024/PS-BLR-001/00076,EVID/00076/0076,FORENSIC,Toxicology vial from post-mortem,OFFICER-00036,"Near Landmark 42, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-40, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2025-05-02T01:53:35.154574
EVID-000077,CASE-000077,FIR/2026/PS-BLR-002/00077,EVID/00077/0077,FORENSIC,Toxicology vial from post-mortem,OFFICER-00015,"Near Landmark 65, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-37, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2025-07-18T08:53:35.154598
EVID-000078,CASE-000078,FIR/2026/PS-CHE-001/00078,EVID/00078/0078,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00025,"Near Landmark 30, T. Nagar, Chennai","Locker-44, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2026-04-15T05:53:35.154631
EVID-000079,CASE-000079,FIR/2024/PS-CHE-002/00079,EVID/00079/0079,DIGITAL,Hard disk drive containing DVR recording,OFFICER-00002,"Near Landmark 28, Mylapore, Chennai","Locker-9, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-10-29T11:53:35.154658
EVID-000080,CASE-000080,FIR/2025/PS-LKO-001/00080,EVID/00080/0080,FORENSIC,Chemical reagent sample,OFFICER-00019,"Near Landmark 41, Hazratganj, Lucknow","Locker-38, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2025-08-30T10:53:35.154682
EVID-000081,CASE-000081,FIR/2026/PS-MUM-001/00081,EVID/00081/0081,PHYSICAL,Fabric sample with blood stains,OFFICER-00037,"Near Landmark 47, Colaba, Mumbai City","Locker-10, Malkhana STATION-PS-MUM-001",SECURED_IN_MALKHANA,2025-11-05T20:53:35.154712
EVID-000082,CASE-000082,FIR/2025/PS-MUM-002/00082,EVID/00082/0082,PHYSICAL,Recovered sharp metallic tool,OFFICER-00006,"Near Landmark 69, Bandra West, Mumbai Suburban","Locker-45, Malkhana STATION-PS-MUM-002",SECURED_IN_MALKHANA,2026-02-14T09:53:35.154761
EVID-000083,CASE-000083,FIR/2024/PS-PUN-001/00083,EVID/00083/0083,BIOLOGICAL,Swab sample for DNA profiling,OFFICER-00039,"Near Landmark 29, Shivajinagar, Pune","Locker-30, Malkhana STATION-PS-PUN-001",SECURED_IN_MALKHANA,2025-12-07T05:53:35.154789
EVID-000084,CASE-000084,FIR/2026/PS-DEL-001/00084,EVID/00084/0084,DOCUMENTARY,Fake identification card,OFFICER-00018,"Near Landmark 16, Connaught Place, Central Delhi","Locker-35, Malkhana STATION-PS-DEL-001",SECURED_IN_MALKHANA,2026-02-19T01:53:35.154827
EVID-000085,CASE-000085,FIR/2025/PS-DEL-002/00085,EVID/00085/0085,BIOLOGICAL,Hair strand recovered from crime scene,OFFICER-00028,"Near Landmark 97, Hauz Khas, South Delhi","Locker-34, Malkhana STATION-PS-DEL-002",SECURED_IN_MALKHANA,2025-08-08T08:53:35.154854
EVID-000086,CASE-000086,FIR/2026/PS-BLR-001/00086,EVID/00086/0086,PHYSICAL,Fabric sample with blood stains,OFFICER-00022,"Near Landmark 68, Koramangala 1st to 8th Blocks, Bangalore Urban","Locker-41, Malkhana STATION-PS-BLR-001",SECURED_IN_MALKHANA,2026-04-05T18:53:35.154880
EVID-000087,CASE-000087,FIR/2024/PS-BLR-002/00087,EVID/00087/0087,FORENSIC,Toxicology vial from post-mortem,OFFICER-00007,"Near Landmark 11, Indiranagar 1st and 2nd Stages, Bangalore Urban","Locker-33, Malkhana STATION-PS-BLR-002",SECURED_IN_MALKHANA,2026-07-08T19:53:35.154904
EVID-000088,CASE-000088,FIR/2025/PS-CHE-001/00088,EVID/00088/0088,FORENSIC,Chemical reagent sample,OFFICER-00038,"Near Landmark 54, T. Nagar, Chennai","Locker-32, Malkhana STATION-PS-CHE-001",SECURED_IN_MALKHANA,2025-11-07T17:53:35.154968
EVID-000089,CASE-000089,FIR/2025/PS-CHE-002/00089,EVID/00089/0089,FORENSIC,Toxicology vial from post-mortem,OFFICER-00049,"Near Landmark 73, Mylapore, Chennai","Locker-35, Malkhana STATION-PS-CHE-002",SECURED_IN_MALKHANA,2025-08-13T22:53:35.155013
EVID-000090,CASE-000090,FIR/2024/PS-LKO-001/00090,EVID/00090/0090,DIGITAL,Mobile smartphone (Android/iOS),OFFICER-00050,"Near Landmark 46, Hazratganj, Lucknow","Locker-18, Malkhana STATION-PS-LKO-001",SECURED_IN_MALKHANA,2025-10-27T05:53:35.155054
