case_id,fir_number,police_station_id,station_name,assigned_officer_id,assigned_officer_name,assigned_officer_badge,crime_category,crime_type,priority,current_status,registration_date,incident_date,location,short_summary,detailed_description,applicable_sections,source,created_by,updated_by,created_at,updated_at
CASE-000011,FIR/2025/PS-MUM-001/00011,STATION-PS-MUM-001,Colaba Police Station,OFFICER-00031,Uma Naidu,BADGE-MUM-1031,NON_COGNIZABLE,OTHERS,MEDIUM,REGISTERED,2026-04-24T21:53:35.151282,2026-04-23T12:53:35.151282,"{""address"": ""Near Landmark 87, Colaba, Mumbai City"", ""latitude"": 18.923747901886017, ""longitude"": 72.8363556092007, ""district"": ""Mumbai City"", ""state"": ""Maharashtra""}",Incident of others reported near Mumbai City.,Detailed police incident report regarding OTHERS under jurisdiction of Colaba Police Station. Investigation initiated by Officer Uma Naidu (BADGE-MUM-1031). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""506"", ""description"": ""Punishment for criminal intimidation""}]",WALK_IN,USER-00050,USER-00050,2026-04-24T21:53:35.151282,2026-08-31T18:53:35.151304
CASE-000012,FIR/2024/PS-MUM-002/00012,STATION-PS-MUM-002,Bandra Police Station,OFFICER-00032,Umesh Deshmukh,BADGE-MUM-1032,NON_COGNIZABLE,THEFT,MEDIUM,CHARGE_SHEET_FILED,2025-06-03T21:53:35.151326,2025-06-03T08:53:35.151326,"{""address"": ""Near Landmark 85, Bandra West, Mumbai Suburban"", ""latitude"": 19.055904813831685, ""longitude"": 72.82336431140855, ""district"": ""Mumbai Suburban"", ""state"": ""Maharashtra""}",Incident of theft reported near Mumbai Suburban.,Detailed police incident report regarding THEFT under jurisdiction of Bandra Police Station. Investigation initiated by Officer Umesh Deshmukh (BADGE-MUM-1032). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""378"", ""description"": ""Theft""}, {""act"": ""IPC"", ""section"": ""379"", ""description"": ""Punishment for theft""}, {""act"": ""IPC"", ""section"": ""380"", ""description"": ""Theft in dwelling house""}, {""act"": ""BNS"", ""section"": ""303"", ""description"": ""Theft and aggravated theft""}]",WALK_IN,USER-00221,USER-00221,2025-06-03T21:53:35.151326,2026-08-31T18:53:35.151349
CASE-000013,FIR/2026/PS-PUN-001/00013,STATION-PS-PUN-001,Shivajinagar Police Station,OFFICER-00033,Vinod Gowda,BADGE-PUN-1033,NON_COGNIZABLE,DRUG_OFFENCE,HIGH,CLOSED_UNSOLVED,2025-07-17T00:53:35.151371,2025-07-16T10:53:35.151371,"{""address"": ""Near Landmark 55, Shivajinagar, Pune"", ""latitude"": 18.53142313209449, ""longitude"": 73.85617854659876, ""district"": ""Pune"", ""state"": ""Maharashtra""}",Incident of drug offence reported near Pune.,Detailed police incident report regarding DRUG_OFFENCE under jurisdiction of Shivajinagar Police Station. Investigation initiated by Officer Vinod Gowda (BADGE-PUN-1033). Initial inspection conducted at incident location.,"[{""act"": ""NDPS Act"", ""section"": ""20"", ""description"": ""Punishment for contravention in relation to cannabis""}, {""act"": ""NDPS Act"", ""section"": ""21"", ""description"": ""Punishment for contravention in relation to manufactured drugs""}]",WALK_IN,USER-00202,USER-00202,2025-07-17T00:53:35.151371,2026-08-31T18:53:35.151392
CASE-000014,FIR/2024/PS-DEL-001/00014,STATION-PS-DEL-001,Connaught Place Police Station,OFFICER-00004,Abhishek Mukherjee,BADGE-CEN-1004,COGNIZABLE,ROBBERY,MEDIUM,UNDER_INVESTIGATION,2026-06-21T02:53:35.151414,2026-06-19T15:53:35.151414,"{""address"": ""Near Landmark 32, Connaught Place, Central Delhi"", ""latitude"": 28.63245289460018, ""longitude"": 77.20303934289923, ""district"": ""Central Delhi"", ""state"": ""Delhi""}",Incident of robbery reported near Central Delhi.,Detailed police incident report regarding ROBBERY under jurisdiction of Connaught Place Police Station. Investigation initiated by Officer Abhishek Mukherjee (BADGE-CEN-1004). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""392"", ""description"": ""Punishment for robbery""}, {""act"": ""IPC"", ""section"": ""395"", ""description"": ""Punishment for dacoity""}, {""act"": ""BNS"", ""section"": ""309"", ""description"": ""Robbery""}]",WALK_IN,USER-00223,USER-00223,2026-06-21T02:53:35.151414,2026-08-31T18:53:35.151434
CASE-000015,FIR/2024/PS-DEL-002/00015,STATION-PS-DEL-002,Hauz Khas Police Station,OFFICER-00005,Vivek Chatterjee,BADGE-SOU-1005,COGNIZABLE,MURDER,MEDIUM,REGISTERED,2025-06-11T05:53:35.151457,2025-06-09T14:53:35.151457,"{""address"": ""Near Landmark 23, Hauz Khas, South Delhi"", ""latitude"": 28.541258428951075, ""longitude"": 77.180334029075, ""district"": ""South Delhi"", ""state"": ""Delhi""}",Incident of murder reported near South Delhi.,Detailed police incident report regarding MURDER under jurisdiction of Hauz Khas Police Station. Investigation initiated by Officer Vivek Chatterjee (BADGE-SOU-1005). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""302"", ""description"": ""Punishment for murder""}, {""act"": ""IPC"", ""section"": ""307"", ""description"": ""Attempt to murder""}, {""act"": ""BNS"", ""section"": ""103"", ""description"": ""Punishment for murder""}]",WALK_IN,USER-00009,USER-00009,2025-06-11T05:53:35.151457,2026-08-31T18:53:35.151479
CASE-000016,FIR/2026/PS-BLR-001/00016,STATION-PS-BLR-001,Koramangala Police Station,OFFICER-00046,Indu Singh,BADGE-BAN-1046,COGNIZABLE,MURDER,LOW,UNDER_INVESTIGATION,2025-08-18T23:53:35.151502,2025-08-17T14:53:35.151502,"{""address"": ""Near Landmark 56, Koramangala 1st to 8th Blocks, Bangalore Urban"", ""latitude"": 12.942636870184435, ""longitude"": 77.64016578584696, ""district"": ""Bangalore Urban"", ""state"": ""Karnataka""}",Incident of murder reported near Bangalore Urban.,Detailed police incident report regarding MURDER under jurisdiction of Koramangala Police Station. Investigation initiated by Officer Indu Singh (BADGE-BAN-1046). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""302"", ""description"": ""Punishment for murder""}, {""act"": ""IPC"", ""section"": ""307"", ""description"": ""Attempt to murder""}, {""act"": ""BNS"", ""section"": ""103"", ""description"": ""Punishment for murder""}]",WALK_IN,USER-00210,USER-00210,2025-08-18T23:53:35.151502,2026-08-31T18:53:35.151523
CASE-000017,FIR/2026/PS-BLR-002/00017,STATION-PS-BLR-002,Indiranagar Police Station,OFFICER-00007,Ravi Singh,BADGE-BAN-1007,NON_COGNIZABLE,CYBER_CRIME,MEDIUM,REGISTERED,2025-11-06T18:53:35.151545,2025-11-06T15:53:35.151545,"{""address"": ""Near Landmark 76, Indiranagar 1st and 2nd Stages, Bangalore Urban"", ""latitude"": 12.965104114539358, ""longitude"": 77.64782658226797, ""district"": ""Bangalore Urban"", ""state"": ""Karnataka""}",Incident of cyber crime reported near Bangalore Urban.,Detailed police incident report regarding CYBER_CRIME under jurisdiction of Indiranagar Police Station. Investigation initiated by Officer Ravi Singh (BADGE-BAN-1007). Initial inspection conducted at incident location.,"[{""act"": ""IT Act"", ""section"": ""66C"", ""description"": ""Punishment for identity theft""}, {""act"": ""IT Act"", ""section"": ""66D"", ""description"": ""Punishment for cheating by personation using computer resource""}, {""act"": ""IPC"", ""section"": ""420"", ""description"": ""Cheating and dishonestly inducing delivery of property""}]",WALK_IN,USER-00026,USER-00026,2025-11-06T18:53:35.151545,2026-08-31T18:53:35.151574
CASE-000018,FIR/2025/PS-CHE-001/00018,STATION-PS-CHE-001,T. Nagar Police Station,OFFICER-00028,Nirmala Dutta,BADGE-CHE-1028,NON_COGNIZABLE,DOMESTIC_VIOLENCE,LOW,CHARGE_SHEET_FILED,2026-08-06T18:53:35.151598,2026-08-05T06:53:35.151598,"{""address"": ""Near Landmark 32, T. Nagar, Chennai"", ""latitude"": 13.049448642664153, ""longitude"": 80.2218455910287, ""district"": ""Chennai"", ""state"": ""Tamil Nadu""}",Incident of domestic violence reported near Chennai.,Detailed police incident report regarding DOMESTIC_VIOLENCE under jurisdiction of T. Nagar Police Station. Investigation initiated by Officer Nirmala Dutta (BADGE-CHE-1028). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""498A"", ""description"": ""Husband or relative of husband subjecting woman to cruelty""}, {""act"": ""DV Act"", ""section"": ""12"", ""description"": ""Application to Magistrate for domestic violence relief""}]",WALK_IN,USER-00212,USER-00212,2026-08-06T18:53:35.151598,2026-08-31T18:53:35.151621
CASE-000019,FIR/2025/PS-CHE-002/00019,STATION-PS-CHE-002,Mylapore Police Station,OFFICER-00009,Pradeep Dutta,BADGE-CHE-1009,COGNIZABLE,MURDER,HIGH,UNDER_INVESTIGATION,2026-03-10T16:53:35.151661,2026-03-09T14:53:35.151661,"{""address"": ""Near Landmark 28, Mylapore, Chennai"", ""latitude"": 13.04544060266221, ""longitude"": 80.25326059957197, ""district"": ""Chennai"", ""state"": ""Tamil Nadu""}",Incident of murder reported near Chennai.,Detailed police incident report regarding MURDER under jurisdiction of Mylapore Police Station. Investigation initiated by Officer Pradeep Dutta (BADGE-CHE-1009). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""302"", ""description"": ""Punishment for murder""}, {""act"": ""IPC"", ""section"": ""307"", ""description"": ""Attempt to murder""}, {""act"": ""BNS"", ""section"": ""103"", ""description"": ""Punishment for murder""}]",WALK_IN,USER-00233,USER-00233,2026-03-10T16:53:35.151661,2026-08-31T18:53:35.151699
CASE-000020,FIR/2024/PS-LKO-001/00020,STATION-PS-LKO-001,Hazratganj Police Station,OFFICER-00020,Rajesh Dubey,BADGE-LUC-1020,COGNIZABLE,ROBBERY,HIGH,REGISTERED,2026-02-25T08:53:35.151744,2026-02-24T12:53:35.151744,"{""address"": ""Near Landmark 28, Hazratganj, Lucknow"", ""latitude"": 26.8707009702159, ""longitude"": 80.92867526164707, ""district"": ""Lucknow"", ""state"": ""Uttar Pradesh""}",Incident of robbery reported near Lucknow.,Detailed police incident report regarding ROBBERY under jurisdiction of Hazratganj Police Station. Investigation initiated by Officer Rajesh Dubey (BADGE-LUC-1020). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""392"", ""description"": ""Punishment for robbery""}, {""act"": ""IPC"", ""section"": ""395"", ""description"": ""Punishment for dacoity""}, {""act"": ""BNS"", ""section"": ""309"", ""description"": ""Robbery""}]",WALK_IN,USER-00047,USER-00047,2026-02-25T08:53:35.151744,2026-08-31T18:53:35.151774
CASE-000021,FIR/2024/PS-MUM-001/00021,STATION-PS-MUM-001,Colaba Police Station,OFFICER-00011,Nikhil Patil,BADGE-MUM-1011,COGNIZABLE,KIDNAPPING,LOW,CLOSED_UNSOLVED,2026-01-05T22:53:35.151802,2026-01-05T17:53:35.151802,"{""address"": ""Near Landmark 45, Colaba, Mumbai City"", ""latitude"": 18.90985714037688, ""longitude"": 72.8082418313915, ""district"": ""Mumbai City"", ""state"": ""Maharashtra""}",Incident of kidnapping reported near Mumbai City.,Detailed police incident report regarding KIDNAPPING under jurisdiction of Colaba Police Station. Investigation initiated by Officer Nikhil Patil (BADGE-MUM-1011). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""364"", ""description"": ""Kidnapping or abducting in order to murder""}, {""act"": ""IPC"", ""section"": ""364A"", ""description"": ""Kidnapping for ransom""}, {""act"": ""BNS"", ""section"": ""140"", ""description"": ""Kidnapping or abduction for ransom""}]",WALK_IN,USER-00006,USER-00006,2026-01-05T22:53:35.151802,2026-08-31T18:53:35.151945
CASE-000022,FIR/2024/PS-MUM-002/00022,STATION-PS-MUM-002,Bandra Police Station,OFFICER-00022,Gaurav Tiwari,BADGE-MUM-1022,NON_COGNIZABLE,DOMESTIC_VIOLENCE,MEDIUM,REGISTERED,2026-05-23T19:53:35.151990,2026-05-22T14:53:35.151990,"{""address"": ""Near Landmark 34, Bandra West, Mumbai Suburban"", ""latitude"": 19.058931497779685, ""longitude"": 72.82541174708005, ""district"": ""Mumbai Suburban"", ""state"": ""Maharashtra""}",Incident of domestic violence reported near Mumbai Suburban.,Detailed police incident report regarding DOMESTIC_VIOLENCE under jurisdiction of Bandra Police Station. Investigation initiated by Officer Gaurav Tiwari (BADGE-MUM-1022). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""498A"", ""description"": ""Husband or relative of husband subjecting woman to cruelty""}, {""act"": ""DV Act"", ""section"": ""12"", ""description"": ""Application to Magistrate for domestic violence relief""}]",WALK_IN,USER-00037,USER-00037,2026-05-23T19:53:35.151990,2026-08-31T18:53:35.152024
CASE-000023,FIR/2024/PS-PUN-001/00023,STATION-PS-PUN-001,Shivajinagar Police Station,OFFICER-00023,Yashoda Das,BADGE-PUN-1023,NON_COGNIZABLE,ACCIDENT,HIGH,CLOSED_SOLVED,2026-01-26T14:53:35.152053,2026-01-24T15:53:35.152053,"{""address"": ""Near Landmark 39, Shivajinagar, Pune"", ""latitude"": 18.516453641138725, ""longitude"": 73.85429095824493, ""district"": ""Pune"", ""state"": ""Maharashtra""}",Incident of accident reported near Pune.,Detailed police incident report regarding ACCIDENT under jurisdiction of Shivajinagar Police Station. Investigation initiated by Officer Yashoda Das (BADGE-PUN-1023). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""279"", ""description"": ""Rash driving or riding on a public way""}, {""act"": ""IPC"", ""section"": ""304A"", ""description"": ""Causing death by negligence""}, {""act"": ""Motor Vehicles Act"", ""section"": ""184"", ""description"": ""Dangerous driving""}]",WALK_IN,USER-00016,USER-00016,2026-01-26T14:53:35.152053,2026-08-31T18:53:35.152078
CASE-000024,FIR/2024/PS-DEL-001/00024,STATION-PS-DEL-001,Connaught Place Police Station,OFFICER-00044,Jitendra Mishra,BADGE-CEN-1044,COGNIZABLE,KIDNAPPING,MEDIUM,UNDER_INVESTIGATION,2025-06-27T05:53:35.152104,2025-06-25T07:53:35.152104,"{""address"": ""Near Landmark 89, Connaught Place, Central Delhi"", ""latitude"": 28.64878302571886, ""longitude"": 77.20655280510228, ""district"": ""Central Delhi"", ""state"": ""Delhi""}",Incident of kidnapping reported near Central Delhi.,Detailed police incident report regarding KIDNAPPING under jurisdiction of Connaught Place Police Station. Investigation initiated by Officer Jitendra Mishra (BADGE-CEN-1044). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""364"", ""description"": ""Kidnapping or abducting in order to murder""}, {""act"": ""IPC"", ""section"": ""364A"", ""description"": ""Kidnapping for ransom""}, {""act"": ""BNS"", ""section"": ""140"", ""description"": ""Kidnapping or abduction for ransom""}]",WALK_IN,USER-00210,USER-00210,2025-06-27T05:53:35.152104,2026-08-31T18:53:35.152131
CASE-000025,FIR/2024/PS-DEL-002/00025,STATION-PS-DEL-002,Hauz Khas Police Station,OFFICER-00045,Sunil Agarwal,BADGE-SOU-1045,COGNIZABLE,MURDER,HIGH,UNDER_INVESTIGATION,2026-02-02T05:53:35.152159,2026-01-31T10:53:35.152159,"{""address"": ""Near Landmark 13, Hauz Khas, South Delhi"", ""latitude"": 28.53508584630001, ""longitude"": 77.1826481059367, ""district"": ""South Delhi"", ""state"": ""Delhi""}",Incident of murder reported near South Delhi.,Detailed police incident report regarding MURDER under jurisdiction of Hauz Khas Police Station. Investigation initiated by Officer Sunil Agarwal (BADGE-SOU-1045). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""302"", ""description"": ""Punishment for murder""}, {""act"": ""IPC"", ""section"": ""307"", ""description"": ""Attempt to murder""}, {""act"": ""BNS"", ""section"": ""103"", ""description"": ""Punishment for murder""}]",WALK_IN,USER-00233,USER-00233,2026-02-02T05:53:35.152159,2026-08-31T18:53:35.152185
CASE-000026,FIR/2024/PS-BLR-001/00026,STATION-PS-BLR-001,Koramangala Police Station,OFFICER-00046,Indu Singh,BADGE-BAN-1046,COGNIZABLE,ROBBERY,HIGH,CHARGE_SHEET_FILED,2026-03-27T02:53:35.152222,2026-03-26T16:53:35.152222,"{""address"": ""Near Landmark 67, Koramangala 1st to 8th Blocks, Bangalore Urban"", ""latitude"": 12.919566718405724, ""longitude"": 77.63560313877377, ""district"": ""Bangalore Urban"", ""state"": ""Karnataka""}",Incident of robbery reported near Bangalore Urban.,Detailed police incident report regarding ROBBERY under jurisdiction of Koramangala Police Station. Investigation initiated by Officer Indu Singh (BADGE-BAN-1046). Initial inspection conducted at incident location.,"[{""act"": ""IPC"", ""section"": ""392"", ""description"": ""Punishment for robbery""}, {""act"": ""IPC"", ""section"": ""395"", ""description"": ""Punishment for dacoity""}, {""act"": ""BNS"", ""section"": ""309"", ""description"": ""Robbery""}]",WALK_IN,USER-00209,USER-00209,2026-03-27T02:53:35.152222,2026-08-31T18:53:35.152556
