activity_id,case_id,fir_number,activity_type,description,performed_by_officer_id,timestamp
ACT-000039,CASE-000039,FIR/2025/PS-CHE-002/00039,REGISTERED,FIR filed and case registered at Mylapore Police Station.,OFFICER-00029,2026-01-19T13:53:35.153237
ACT-000040,CASE-000040,FIR/2026/PS-LKO-001/00040,ASSIGNED,Case assigned to Primary IO Aditya Dubey (BADGE-CHE-1019).,OFFICER-00019,2026-01-22T07:53:35.153284
ACT-000041,CASE-000041,FIR/2026/PS-MUM-001/00041,CLOSED,Case investigation concluded and case closed.,OFFICER-00013,2026-04-30T06:53:35.153331
ACT-000042,CASE-000042,FIR/2026/PS-MUM-002/00042,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00026,2025-10-26T08:53:35.153376
ACT-000043,CASE-000043,FIR/2026/PS-PUN-001/00043,REGISTERED,FIR filed and case registered at Shivajinagar Police Station.,OFFICER-00035,2025-09-19T06:53:35.153497
ACT-000044,CASE-000044,FIR/2026/PS-DEL-001/00044,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00039,2025-04-21T16:53:35.153551
ACT-000045,CASE-000045,FIR/2026/PS-DEL-002/00045,STATUS_CHANGED,Case status updated to REGISTERED.,OFFICER-00004,2025-11-12T10:53:35.153586
ACT-000046,CASE-000046,FIR/2025/PS-BLR-001/00046,INTERROGATION,Suspect Hitesh Pandey brought in for questioning.,OFFICER-00013,2026-07-14T12:53:35.153621
ACT-000047,CASE-000047,FIR/2024/PS-BLR-002/00047,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00049,2025-08-11T17:53:35.153676
ACT-000048,CASE-000048,FIR/2025/PS-CHE-001/00048,WITNESS_ADDED,Witness Arjun Saxena added to case record.,OFFICER-00047,2026-06-13T11:53:35.153732
ACT-000049,CASE-000049,FIR/2026/PS-CHE-002/00049,REGISTERED,FIR filed and case registered at Mylapore Police Station.,OFFICER-00018,2025-08-20T15:53:35.153764
ACT-000050,CASE-000050,FIR/2025/PS-LKO-001/00050,INTERROGATION,Suspect Yashoda Banerjee brought in for questioning.,OFFICER-00005,2025-05-21T02:53:35.153793
ACT-000051,CASE-000051,FIR/2026/PS-MUM-001/00051,WITNESS_ADDED,Witness Pankaj Dutta added to case record.,OFFICER-00025,2025-08-29T02:53:35.153821
ACT-000052,CASE-000052,FIR/2026/PS-MUM-002/00052,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00030,2025-06-08T14:53:35.153848
ACT-000053,CASE-000053,FIR/2026/PS-PUN-001/00053,ASSIGNED,Case assigned to Primary IO Vidya Dubey (BADGE-CHE-1029).,OFFICER-00029,2026-08-18T19:53:35.153876
ACT-000054,CASE-000054,FIR/2026/PS-DEL-001/00054,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00011,2026-08-17T15:53:35.153904
ACT-000055,CASE-000055,FIR/2025/PS-DEL-002/00055,INTERROGATION,Suspect Renu Rao brought in for questioning.,OFFICER-00046,2026-05-07T14:53:35.153930
ACT-000056,CASE-000056,FIR/2026/PS-BLR-001/00056,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00040,2025-09-19T07:53:35.153956
ACT-000057,CASE-000057,FIR/2024/PS-BLR-002/00057,CLOSED,Case investigation concluded and case closed.,OFFICER-00040,2025-11-30T03:53:35.153988
ACT-000058,CASE-000058,FIR/2026/PS-CHE-001/00058,CLOSED,Case investigation concluded and case closed.,OFFICER-00029,2025-12-02T05:53:35.154017
ACT-000059,CASE-000059,FIR/2026/PS-CHE-002/00059,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00018,2026-07-27T22:53:35.154045
ACT-000060,CASE-000060,FIR/2024/PS-LKO-001/00060,CLOSED,Case investigation concluded and case closed.,OFFICER-00013,2026-02-12T04:53:35.154070
ACT-000061,CASE-000061,FIR/2024/PS-MUM-001/00061,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00034,2026-05-01T04:53:35.154115
ACT-000062,CASE-000062,FIR/2025/PS-MUM-002/00062,WITNESS_ADDED,Witness Vidya Chatterjee added to case record.,OFFICER-00018,2025-08-08T17:53:35.154143
ACT-000063,CASE-000063,FIR/2024/PS-PUN-001/00063,WITNESS_ADDED,Witness Prachi Rao added to case record.,OFFICER-00050,2025-06-30T02:53:35.154185
ACT-000064,CASE-000064,FIR/2024/PS-DEL-001/00064,INTERROGATION,Suspect Umesh Joshi brought in for questioning.,OFFICER-00027,2025-06-17T00:53:35.154231
ACT-000065,CASE-000065,FIR/2024/PS-DEL-002/00065,CLOSED,Case investigation concluded and case closed.,OFFICER-00046,2025-07-19T15:53:35.154260
ACT-000066,CASE-000066,FIR/2024/PS-BLR-001/00066,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00020,2026-07-20T18:53:35.154300
ACT-000067,CASE-000067,FIR/2025/PS-BLR-002/00067,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00047,2026-08-08T14:53:35.154333
ACT-000068,CASE-000068,FIR/2025/PS-CHE-001/00068,WITNESS_ADDED,Witness Shanti Nair added to case record.,OFFICER-00019,2026-05-24T02:53:35.154362
ACT-000069,CASE-000069,FIR/2026/PS-CHE-002/00069,ASSIGNED,Case assigned to Primary IO Ananya Dutta (BADGE-BAN-1047).,OFFICER-00047,2025-11-03T06:53:35.154388
ACT-000070,CASE-000070,FIR/2026/PS-LKO-001/00070,ASSIGNED,Case assigned to Primary IO Vinod Gowda (BADGE-PUN-1033).,OFFICER-00033,2025-07-13T13:53:35.154413
ACT-000071,CASE-000071,FIR/2025/PS-MUM-001/00071,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00039,2025-12-14T19:53:35.154441
ACT-000072,CASE-000072,FIR/2025/PS-MUM-002/00072,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00005,2025-11-09T02:53:35.154467
ACT-000073,CASE-000073,FIR/2026/PS-PUN-001/00073,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00020,2025-08-15T07:53:35.154492
ACT-000074,CASE-000074,FIR/2025/PS-DEL-001/00074,WITNESS_ADDED,Witness Pooja Mehta added to case record.,OFFICER-00002,2025-11-29T04:53:35.154520
ACT-000075,CASE-000075,FIR/2025/PS-DEL-002/00075,INTERROGATION,Suspect Devendra Singh brought in for questioning.,OFFICER-00005,2025-06-29T14:53:35.154550
ACT-000076,CASE-000076,FIR/2024/PS-BLR-001/00076,INTERROGATION,Suspect Amit Gowda brought in for questioning.,OFFICER-00007,2025-05-02T01:53:35.154574
ACT-000077,CASE-000077,FIR/2026/PS-BLR-002/00077,CLOSED,Case investigation concluded and case closed.,OFFICER-00026,2025-07-18T08:53:35.154598
ACT-000078,CASE-000078,FIR/2026/PS-CHE-001/00078,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00006,2026-04-15T05:53:35.154631
ACT-000079,CASE-000079,FIR/2024/PS-CHE-002/00079,REGISTERED,FIR filed and case registered at Mylapore Police Station.,OFFICER-00032,2025-10-29T11:53:35.154658
ACT-000080,CASE-000080,FIR/2025/PS-LKO-001/00080,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00015,2025-08-30T10:53:35.154682
ACT-000081,CASE-000081,FIR/2026/PS-MUM-001/00081,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00016,2025-11-05T20:53:35.154712
ACT-000082,CASE-000082,FIR/2025/PS-MUM-002/00082,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00017,2026-02-14T09:53:35.154761
ACT-000083,CASE-000083,FIR/2024/PS-PUN-001/00083,WITNESS_ADDED,Witness Manish Mukherjee added to case record.,OFFICER-00011,2025-12-07T05:53:35.154789
ACT-000084,CASE-000084,FIR/2026/PS-DEL-001/00084,WITNESS_ADDED,Witness Pradeep Kulkarni added to case record.,OFFICER-00003,2026-02-19T01:53:35.154827
ACT-000085,CASE-000085,FIR/2025/PS-DEL-002/00085,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00018,2025-08-08T08:53:35.154854
ACT-000086,CASE-000086,FIR/2026/PS-BLR-001/00086,ASSIGNED,Case assigned to Primary IO Radha Dubey (BADGE-MUM-1041).,OFFICER-00041,2026-04-05T18:53:35.154880
ACT-000087,CASE-000087,FIR/2024/PS-BLR-002/00087,REGISTERED,FIR filed and case registered at Indiranagar Police Station.,OFFICER-00025,2026-07-08T19:53:35.154904
ACT-000088,CASE-000088,FIR/2025/PS-CHE-001/00088,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00035,2025-11-07T17:53:35.154968
ACT-000089,CASE-000089,FIR/2025/PS-CHE-002/00089,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00045,2025-08-13T22:53:35.155013
ACT-000090,CASE-000090,FIR/2024/PS-LKO-001/00090,INTERROGATION,Suspect Manoj Mishra brought in for questioning.,OFFICER-00037,2025-10-27T05:53:35.155054
ACT-000091,CASE-000091,FIR/2025/PS-MUM-001/00091,REGISTERED,FIR filed and case registered at Colaba Police Station.,OFFICER-00002,2025-11-06T03:53:35.155095
ACT-000092,CASE-000092,FIR/2024/PS-MUM-002/00092,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00049,2026-04-02T01:53:35.155135
ACT-000093,CASE-000093,FIR/2024/PS-PUN-001/00093,CLOSED,Case investigation concluded and case closed.,OFFICER-00035,2026-07-06T00:53:35.155177
ACT-000094,CASE-000094,FIR/2026/PS-DEL-001/00094,WITNESS_ADDED,Witness Alok Bhowmick added to case record.,OFFICER-00018,2026-08-24T14:53:35.155226
ACT-000095,CASE-000095,FIR/2025/PS-DEL-002/00095,INTERROGATION,Suspect Payal Bansal brought in for questioning.,OFFICER-00044,2026-07-27T19:53:35.155271
ACT-000096,CASE-000096,FIR/2026/PS-BLR-001/00096,INTERROGATION,Suspect Prachi Reddy brought in for questioning.,OFFICER-00050,2025-04-25T15:53:35.155320
ACT-000097,CASE-000097,FIR/2026/PS-BLR-002/00097,CLOSED,Case investigation concluded and case closed.,OFFICER-00030,2026-06-18T20:53:35.155362
ACT-000098,CASE-000098,FIR/2025/PS-CHE-001/00098,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00040,2026-08-06T08:53:35.155404
ACT-000099,CASE-000099,FIR/2024/PS-CHE-002/00099,ASSIGNED,Case assigned to Primary IO Radha Patil (BADGE-MUM-1042).,OFFICER-00042,2025-04-30T20:53:35.155446
ACT-000100,CASE-000100,FIR/2026/PS-LKO-001/00100,INTERROGATION,Suspect Aarti Patel brought in for questioning.,OFFICER-00014,2025-07-23T07:53:35.155489
ACT-000101,CASE-000101,FIR/2025/PS-MUM-001/00101,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00031,2025-05-24T22:53:35.155532
ACT-000102,CASE-000102,FIR/2024/PS-MUM-002/00102,INTERROGATION,Suspect Aditya Shukla brought in for questioning.,OFFICER-00037,2026-07-03T18:53:35.155574
ACT-000103,CASE-000103,FIR/2024/PS-PUN-001/00103,CLOSED,Case investigation concluded and case closed.,OFFICER-00034,2026-03-24T22:53:35.155621
ACT-000104,CASE-000104,FIR/2026/PS-DEL-001/00104,CLOSED,Case investigation concluded and case closed.,OFFICER-00008,2026-07-11T02:53:35.155663
ACT-000105,CASE-000105,FIR/2025/PS-DEL-002/00105,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00031,2025-11-05T18:53:35.155703
ACT-000106,CASE-000106,FIR/2026/PS-BLR-001/00106,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00035,2025-09-23T05:53:35.155743
ACT-000107,CASE-000107,FIR/2024/PS-BLR-002/00107,CLOSED,Case investigation concluded and case closed.,OFFICER-00014,2026-03-04T16:53:35.155816
ACT-000108,CASE-000108,FIR/2026/PS-CHE-001/00108,WITNESS_ADDED,Witness Dinesh Mehta added to case record.,OFFICER-00035,2026-04-13T11:53:35.155864
ACT-000109,CASE-000109,FIR/2026/PS-CHE-002/00109,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00020,2025-10-14T06:53:35.155910
ACT-000110,CASE-000110,FIR/2026/PS-LKO-001/00110,CLOSED,Case investigation concluded and case closed.,OFFICER-00028,2025-06-21T11:53:35.155954
ACT-000111,CASE-000111,FIR/2024/PS-MUM-001/00111,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00038,2026-08-05T18:53:35.155996
ACT-000112,CASE-000112,FIR/2024/PS-MUM-002/00112,CHARGE_SHEET_FILED,Charge sheet submitted to Judicial Magistrate Court.,OFFICER-00024,2025-09-05T07:53:35.156041
ACT-000113,CASE-000113,FIR/2024/PS-PUN-001/00113,CLOSED,Case investigation concluded and case closed.,OFFICER-00046,2025-05-14T22:53:35.156083
ACT-000114,CASE-000114,FIR/2025/PS-DEL-001/00114,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00013,2026-07-09T05:53:35.156139
ACT-000115,CASE-000115,FIR/2024/PS-DEL-002/00115,REGISTERED,FIR filed and case registered at Hauz Khas Police Station.,OFFICER-00006,2025-11-22T00:53:35.156179
ACT-000116,CASE-000116,FIR/2026/PS-BLR-001/00116,ASSIGNED,Case assigned to Primary IO Vikram Mehta (BADGE-CEN-1024).,OFFICER-00024,2025-09-09T02:53:35.156219
ACT-000117,CASE-000117,FIR/2024/PS-BLR-002/00117,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00006,2025-05-29T17:53:35.156259
ACT-000118,CASE-000118,FIR/2024/PS-CHE-001/00118,STATUS_CHANGED,Case status updated to CHARGE_SHEET_FILED.,OFFICER-00040,2026-04-28T04:53:35.156299
ACT-000119,CASE-000119,FIR/2025/PS-CHE-002/00119,CLOSED,Case investigation concluded and case closed.,OFFICER-00021,2025-05-18T20:53:35.156339
ACT-000120,CASE-000120,FIR/2024/PS-LKO-001/00120,REGISTERED,FIR filed and case registered at Hazratganj Police Station.,OFFICER-00015,2025-06-03T23:53:35.156390
ACT-000121,CASE-000121,FIR/2026/PS-MUM-001/00121,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00004,2026-07-13T18:53:35.156456
ACT-000122,CASE-000122,FIR/2026/PS-MUM-002/00122,REGISTERED,FIR filed and case registered at Bandra Police Station.,OFFICER-00004,2026-07-13T10:53:35.156503
ACT-000123,CASE-000123,FIR/2024/PS-PUN-001/00123,WITNESS_ADDED,Witness Asha Chatterjee added to case record.,OFFICER-00013,2026-04-10T08:53:35.156548
ACT-000124,CASE-000124,FIR/2026/PS-DEL-001/00124,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00011,2026-07-26T13:53:35.156591
ACT-000125,CASE-000125,FIR/2025/PS-DEL-002/00125,CLOSED,Case investigation concluded and case closed.,OFFICER-00015,2026-02-06T17:53:35.156632
ACT-000126,CASE-000126,FIR/2024/PS-BLR-001/00126,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00042,2026-06-03T11:53:35.156674
ACT-000127,CASE-000127,FIR/2024/PS-BLR-002/00127,ASSIGNED,Case assigned to Primary IO Abhishek Mukherjee (BADGE-CEN-1004).,OFFICER-00004,2026-05-07T05:53:35.156715
ACT-000128,CASE-000128,FIR/2024/PS-CHE-001/00128,ASSIGNED,Case assigned to Primary IO Abhishek Mukherjee (BADGE-CEN-1004).,OFFICER-00004,2026-03-05T15:53:35.156761
ACT-000129,CASE-000129,FIR/2026/PS-CHE-002/00129,WITNESS_ADDED,Witness Ritu Patel added to case record.,OFFICER-00033,2026-07-25T03:53:35.156803
ACT-000130,CASE-000130,FIR/2025/PS-LKO-001/00130,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00020,2025-07-07T03:53:35.156853
ACT-000131,CASE-000131,FIR/2025/PS-MUM-001/00131,STATUS_CHANGED,Case status updated to REGISTERED.,OFFICER-00037,2026-05-28T22:53:35.156901
ACT-000132,CASE-000132,FIR/2026/PS-MUM-002/00132,ASSIGNED,Case assigned to Primary IO Nikhil Patil (BADGE-MUM-1011).,OFFICER-00011,2026-03-12T07:53:35.156947
ACT-000133,CASE-000133,FIR/2025/PS-PUN-001/00133,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00043,2026-01-09T20:53:35.156991
ACT-000134,CASE-000134,FIR/2024/PS-DEL-001/00134,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00045,2025-10-30T13:53:35.157038
ACT-000135,CASE-000135,FIR/2025/PS-DEL-002/00135,CLOSED,Case investigation concluded and case closed.,OFFICER-00039,2025-11-27T02:53:35.157081
ACT-000136,CASE-000136,FIR/2025/PS-BLR-001/00136,WITNESS_ADDED,Witness Renu Yadav added to case record.,OFFICER-00041,2025-08-01T02:53:35.157122
ACT-000137,CASE-000137,FIR/2025/PS-BLR-002/00137,INVESTIGATION_UPDATED,Case notes updated following site visit.,OFFICER-00039,2025-12-31T06:53:35.157164
ACT-000138,CASE-000138,FIR/2026/PS-CHE-001/00138,CLOSED,Case investigation concluded and case closed.,OFFICER-00002,2025-12-11T01:53:35.157207
ACT-000139,CASE-000139,FIR/2026/PS-CHE-002/00139,ASSIGNED,Case assigned to Primary IO Tarun Shetty (BADGE-BAN-1036).,OFFICER-00036,2025-05-25T08:53:35.157250
ACT-000140,CASE-000140,FIR/2025/PS-LKO-001/00140,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00010,2026-02-07T05:53:35.157291
ACT-000141,CASE-000141,FIR/2026/PS-MUM-001/00141,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00040,2026-06-12T07:53:35.157331
ACT-000142,CASE-000142,FIR/2024/PS-MUM-002/00142,INTERROGATION,Suspect Kiran Dubey brought in for questioning.,OFFICER-00018,2026-08-03T03:53:35.157372
ACT-000143,CASE-000143,FIR/2024/PS-PUN-001/00143,ASSIGNED,Case assigned to Primary IO Vidya Dubey (BADGE-CHE-1029).,OFFICER-00029,2025-05-27T10:53:35.157416
ACT-000144,CASE-000144,FIR/2024/PS-DEL-001/00144,INTERROGATION,Suspect Tarun Shetty brought in for questioning.,OFFICER-00041,2025-07-11T17:53:35.157458
ACT-000145,CASE-000145,FIR/2025/PS-DEL-002/00145,CLOSED,Case investigation concluded and case closed.,OFFICER-00030,2026-01-09T11:53:35.157503
ACT-000146,CASE-000146,FIR/2026/PS-BLR-001/00146,WITNESS_ADDED,Witness Kavita Nair added to case record.,OFFICER-00020,2026-02-04T02:53:35.157545
ACT-000147,CASE-000147,FIR/2024/PS-BLR-002/00147,REGISTERED,FIR filed and case registered at Indiranagar Police Station.,OFFICER-00018,2026-02-10T11:53:35.157587
ACT-000148,CASE-000148,FIR/2026/PS-CHE-001/00148,EVIDENCE_COLLECTED,Physical evidence items collected from incident site.,OFFICER-00016,2026-04-14T18:53:35.157628
ACT-000149,CASE-000149,FIR/2025/PS-CHE-002/00149,ASSIGNED,Case assigned to Primary IO Savita Kulkarni (BADGE-LUC-1010).,OFFICER-00010,2025-10-05T16:53:35.157673
ACT-000150,CASE-000150,FIR/2026/PS-LKO-001/00150,ASSIGNED,Case assigned to Primary IO Suman Iyer (BADGE-PUN-1013).,OFFICER-00013,2025-05-03T07:53:35.157717
ACT-000151,CASE-000151,FIR/2024/PS-MUM-001/00151,ASSIGNED,Case assigned to Primary IO Vinod Gowda (BADGE-PUN-1033).,OFFICER-00033,2026-05-01T09:53:35.157759
ACT-000152,CASE-000152,FIR/2024/PS-MUM-002/00152,WITNESS_ADDED,Witness Suman Malik added to case record.,OFFICER-00005,2025-10-20T07:53:35.157803
ACT-000153,CASE-000153,FIR/2024/PS-PUN-001/00153,ASSIGNED,Case assigned to Primary IO Seema Naidu (BADGE-LUC-1050).,OFFICER-00050,2026-07-27T20:53:35.157844
ACT-000154,CASE-000154,FIR/2024/PS-DEL-001/00154,REGISTERED,FIR filed and case registered at Connaught Place Police Station.,OFFICER-00003,2026-08-16T06:53:35.157888
ACT-000155,CASE-000155,FIR/2026/PS-DEL-002/00155,STATUS_CHANGED,Case status updated to CLOSED_SOLVED.,OFFICER-00003,2025-12-05T23:53:35.157927
ACT-000156,CASE-000156,FIR/2024/PS-BLR-001/00156,ASSIGNED,Case assigned to Primary IO Gaurav Tiwari (BADGE-MUM-1022).,OFFICER-00022,2026-03-08T17:53:35.157972
ACT-000157,CASE-000157,FIR/2025/PS-BLR-002/00157,INTERROGATION,Suspect Vandana Kulkarni brought in for questioning.,OFFICER-00018,2026-01-27T15:53:35.158015
ACT-000158,CASE-000158,FIR/2024/PS-CHE-001/00158,STATUS_CHANGED,Case status updated to UNDER_INVESTIGATION.,OFFICER-00028,2025-10-12T04:53:35.158069
