attachment_id,case_id,document_id,file_name,file_type,file_extension,file_size_bytes,storage_backend,storage_location,checksum_sha256,created_at
ATT-000026,CASE-000026,DOC-000026,ATTACH_CASE-000026_0026.pdf,application/pdf,pdf,215312,LOCAL,sample_data/attachments/CASE-000026/ATTACH_CASE-000026_0026.pdf,cf2474da6020863475e9c3e0fe466e58d30192078a1a07478672124543000a9c,2026-03-27T02:53:35.152222
ATT-000027,CASE-000027,DOC-000027,ATTACH_CASE-000027_0027.jpg,image/jpeg,jpg,631294,LOCAL,sample_data/attachments/CASE-000027/ATTACH_CASE-000027_0027.jpg,8f0a0f95bd3ffe7e0e4704df15311d5a77baceb699762927215e8123c8f4789c,2026-01-25T04:53:35.152605
ATT-000028,CASE-000028,DOC-000028,ATTACH_CASE-000028_0028.pdf,application/pdf,pdf,3961991,LOCAL,sample_data/attachments/CASE-000028/ATTACH_CASE-000028_0028.pdf,ab4b00e1a64093288abc06e8ac463a7d37db43b9ec1c30aeadbd4996b7ddf951,2026-07-29T20:53:35.152665
ATT-000029,CASE-000029,DOC-000029,ATTACH_CASE-000029_0029.pdf,application/pdf,pdf,2987769,LOCAL,sample_data/attachments/CASE-000029/ATTACH_CASE-000029_0029.pdf,fe2bb1ba730ea8f6a3d7c34662addf52776f118cdeec70adafc229360107372e,2025-10-06T19:53:35.152724
ATT-000030,CASE-000030,DOC-000030,ATTACH_CASE-000030_0030.mp3,audio/mpeg,mp3,113092,LOCAL,sample_data/attachments/CASE-000030/ATTACH_CASE-000030_0030.mp3,ac8b0174b89bca81a0fdeb63cf1e18724df150377be1640a2dd666f4e036790a,2025-04-24T16:53:35.152773
ATT-000031,CASE-000031,DOC-000031,ATTACH_CASE-000031_0031.mp4,video/mp4,mp4,2922514,LOCAL,sample_data/attachments/CASE-000031/ATTACH_CASE-000031_0031.mp4,a491a5795cd626efe67c75f46a4617e5f0dc5d2bbc6b3781a59f1fb9d5deb477,2026-08-16T23:53:35.152828
ATT-000032,CASE-000032,DOC-000032,ATTACH_CASE-000032_0032.png,image/png,png,107325,LOCAL,sample_data/attachments/CASE-000032/ATTACH_CASE-000032_0032.png,b14c08878f65db4fc3fc0c8fdf5477cffb2fccd6aff1264d8c949200a1e7da5b,2025-09-23T11:53:35.152878
ATT-000033,CASE-000033,DOC-000033,ATTACH_CASE-000033_0033.jpg,image/jpeg,jpg,2478017,LOCAL,sample_data/attachments/CASE-000033/ATTACH_CASE-000033_0033.jpg,6e6c927b2e2b51d8c45843c792fd18ad0b303eb16527ef8cb2baf58c66c33130,2025-10-12T16:53:35.152928
ATT-000034,CASE-000034,DOC-000034,ATTACH_CASE-000034_0034.mp3,audio/mpeg,mp3,4033080,LOCAL,sample_data/attachments/CASE-000034/ATTACH_CASE-000034_0034.mp3,90e54bf1f9f8986ddca12953cbffd05b51a15931a5880ea56e88019f0404e9bf,2025-10-14T01:53:35.152979
ATT-000035,CASE-000035,DOC-000035,ATTACH_CASE-000035_0035.mp4,video/mp4,mp4,3816726,LOCAL,sample_data/attachments/CASE-000035/ATTACH_CASE-000035_0035.mp4,7ce9648bd12c19a8e8edcf918bab536d022b247ff1a67911b8b28a90238ab96b,2025-04-24T12:53:35.153037
ATT-000036,CASE-000036,DOC-000036,ATTACH_CASE-000036_0036.pdf,application/pdf,pdf,969744,LOCAL,sample_data/attachments/CASE-000036/ATTACH_CASE-000036_0036.pdf,5d1f5dd3431aa9d4d2c5e36fbec48cf2133ea1093d0dcc0770c9c468d21e03ff,2026-01-29T12:53:35.153086
ATT-000037,CASE-000037,DOC-000037,ATTACH_CASE-000037_0037.mp3,audio/mpeg,mp3,4610695,LOCAL,sample_data/attachments/CASE-000037/ATTACH_CASE-000037_0037.mp3,75a3ac1b1532fdf324c86482d0ed2e95839095335e97cd48db1e58854be4d4e9,2026-05-29T07:53:35.153135
ATT-000038,CASE-000038,DOC-000038,ATTACH_CASE-000038_0038.mp4,video/mp4,mp4,2823658,LOCAL,sample_data/attachments/CASE-000038/ATTACH_CASE-000038_0038.mp4,8192aba3a1a94c9e71672326df186e0dacaf2feae5359772965ed15bce38093f,2026-08-15T08:53:35.153183
ATT-000039,CASE-000039,DOC-000039,ATTACH_CASE-000039_0039.jpg,image/jpeg,jpg,1848352,LOCAL,sample_data/attachments/CASE-000039/ATTACH_CASE-000039_0039.jpg,1848fcedef0780325783ee179fb5dafc0cfe6f75c15992795097fdc5106e0e0f,2026-01-19T13:53:35.153237
ATT-000040,CASE-000040,DOC-000040,ATTACH_CASE-000040_0040.pdf,application/pdf,pdf,1755655,LOCAL,sample_data/attachments/CASE-000040/ATTACH_CASE-000040_0040.pdf,3daf24c7dc892be55478779047c4c63f5f0701f4268b4ceb4d023e110a717ab7,2026-01-22T07:53:35.153284
ATT-000041,CASE-000041,DOC-000041,ATTACH_CASE-000041_0041.jpg,image/jpeg,jpg,39037,LOCAL,sample_data/attachments/CASE-000041/ATTACH_CASE-000041_0041.jpg,39c083a88bf507fe5a6dc6c05996439c85b45eb1c754ec2f5c2e19f3cf8216b3,2026-04-30T06:53:35.153331
ATT-000042,CASE-000042,DOC-000042,ATTACH_CASE-000042_0042.jpg,image/jpeg,jpg,4597732,LOCAL,sample_data/attachments/CASE-000042/ATTACH_CASE-000042_0042.jpg,65edff0b03b74b4fd3051077c0f2299d3f7b70d75d8efd7e06fcbf879fdf5d34,2025-10-26T08:53:35.153376
ATT-000043,CASE-000043,DOC-000043,ATTACH_CASE-000043_0043.mp3,audio/mpeg,mp3,4083811,LOCAL,sample_data/attachments/CASE-000043/ATTACH_CASE-000043_0043.mp3,e0a6d6b30d70064bafa62e10f063edb8a7ee939d63d378ef9607d61b1a3b1ac6,2025-09-19T06:53:35.153497
ATT-000044,CASE-000044,DOC-000044,ATTACH_CASE-000044_0044.mp3,audio/mpeg,mp3,1940987,LOCAL,sample_data/attachments/CASE-000044/ATTACH_CASE-000044_0044.mp3,8d07265b61c6c7a42db2a107759cb29d7108acabab370efde22b69ad394f9ce5,2025-04-21T16:53:35.153551
ATT-000045,CASE-000045,DOC-000045,ATTACH_CASE-000045_0045.pdf,application/pdf,pdf,582011,LOCAL,sample_data/attachments/CASE-000045/ATTACH_CASE-000045_0045.pdf,ecc4796af3080ef2dbca71b2ddab396b614c3723cb58331bca6463640885bd86,2025-11-12T10:53:35.153586
ATT-000046,CASE-000046,DOC-000046,ATTACH_CASE-000046_0046.png,image/png,png,3522840,LOCAL,sample_data/attachments/CASE-000046/ATTACH_CASE-000046_0046.png,5d4266f80b7f0e6dbf1338d8af1aded0a8e330182d9889162976c25b1dcc34af,2026-07-14T12:53:35.153621
ATT-000047,CASE-000047,DOC-000047,ATTACH_CASE-000047_0047.png,image/png,png,1978054,LOCAL,sample_data/attachments/CASE-000047/ATTACH_CASE-000047_0047.png,10f53209b07548eda8bfb3b880621e43df0b6975fbf3ebe3914a23ad89c9733a,2025-08-11T17:53:35.153676
ATT-000048,CASE-000048,DOC-000048,ATTACH_CASE-000048_0048.mp4,video/mp4,mp4,619179,LOCAL,sample_data/attachments/CASE-000048/ATTACH_CASE-000048_0048.mp4,86241643ee07b2a85bcbb4794be5a0e6d849ba2d69fe64c291b94db57a543a68,2026-06-13T11:53:35.153732
ATT-000049,CASE-000049,DOC-000049,ATTACH_CASE-000049_0049.mp3,audio/mpeg,mp3,4703985,LOCAL,sample_data/attachments/CASE-000049/ATTACH_CASE-000049_0049.mp3,0adc8a11258b508ff6a83b917cd45c256b2e2bc0abea7acb04afa98cc0fdc1ca,2025-08-20T15:53:35.153764
ATT-000050,CASE-000050,DOC-000050,ATTACH_CASE-000050_0050.mp4,video/mp4,mp4,2790213,LOCAL,sample_data/attachments/CASE-000050/ATTACH_CASE-000050_0050.mp4,c0d9e6f3b6babe891e92ebc579c47794a08222021f3eaa13c712c92ab5d6de29,2025-05-21T02:53:35.153793
ATT-000051,CASE-000051,DOC-000051,ATTACH_CASE-000051_0051.png,image/png,png,3877232,LOCAL,sample_data/attachments/CASE-000051/ATTACH_CASE-000051_0051.png,c20c1497009bcca1b8c69153a010f2390b701a1ef3bbbde3f1caf15d9e2409ac,2025-08-29T02:53:35.153821
ATT-000052,CASE-000052,DOC-000052,ATTACH_CASE-000052_0052.jpg,image/jpeg,jpg,2310145,LOCAL,sample_data/attachments/CASE-000052/ATTACH_CASE-000052_0052.jpg,7daf3db92486225d4f7482212ca9f20ea99f4f95949fdcceb8a027d10a0321a6,2025-06-08T14:53:35.153848
ATT-000053,CASE-000053,DOC-000053,ATTACH_CASE-000053_0053.jpg,image/jpeg,jpg,436219,LOCAL,sample_data/attachments/CASE-000053/ATTACH_CASE-000053_0053.jpg,69722eb4a3ddbc8d0bfc4824a23a3956b524006828f24040288c003bd5e600e8,2026-08-18T19:53:35.153876
ATT-000054,CASE-000054,DOC-000054,ATTACH_CASE-000054_0054.pdf,application/pdf,pdf,3975982,LOCAL,sample_data/attachments/CASE-000054/ATTACH_CASE-000054_0054.pdf,291aaea5106976a18ab693f97a1678e493a7ccd3072a297cd9d2b39ad727d300,2026-08-17T15:53:35.153904
ATT-000055,CASE-000055,DOC-000055,ATTACH_CASE-000055_0055.mp3,audio/mpeg,mp3,2417353,LOCAL,sample_data/attachments/CASE-000055/ATTACH_CASE-000055_0055.mp3,5c7a122fd4401fca9b54480f43b929f72bf64b29666abb5d7d58eb9ed766dab1,2026-05-07T14:53:35.153930
ATT-000056,CASE-000056,DOC-000056,ATTACH_CASE-000056_0056.mp3,audio/mpeg,mp3,272598,LOCAL,sample_data/attachments/CASE-000056/ATTACH_CASE-000056_0056.mp3,bef29dcd9c1629b6608c79295243125aa40c7f8197de9365bb8ae3e753a2cf55,2025-09-19T07:53:35.153956
ATT-000057,CASE-000057,DOC-000057,ATTACH_CASE-000057_0057.mp3,audio/mpeg,mp3,2177040,LOCAL,sample_data/attachments/CASE-000057/ATTACH_CASE-000057_0057.mp3,6790f2760c152d6718964daed427c6b916e08db1125ec813039bfe0c48108b10,2025-11-30T03:53:35.153988
ATT-000058,CASE-000058,DOC-000058,ATTACH_CASE-000058_0058.jpg,image/jpeg,jpg,2383803,LOCAL,sample_data/attachments/CASE-000058/ATTACH_CASE-000058_0058.jpg,baf32daf2399d228c22ad587b6cd79d96d4c5456cfa1ae871a24db0b75cc3ea2,2025-12-02T05:53:35.154017
ATT-000059,CASE-000059,DOC-000059,ATTACH_CASE-000059_0059.jpg,image/jpeg,jpg,39338,LOCAL,sample_data/attachments/CASE-000059/ATTACH_CASE-000059_0059.jpg,fa29bafa68cc7415b005312a49e61f8834afebff39ef764c5d19d223f7d599e5,2026-07-27T22:53:35.154045
ATT-000060,CASE-000060,DOC-000060,ATTACH_CASE-000060_0060.mp3,audio/mpeg,mp3,3234619,LOCAL,sample_data/attachments/CASE-000060/ATTACH_CASE-000060_0060.mp3,1f1b46c8332aef6a47e1d39909fa1853cf9d15ef0e4c33b5b3d58998727514a7,2026-02-12T04:53:35.154070
ATT-000061,CASE-000061,DOC-000061,ATTACH_CASE-000061_0061.jpg,image/jpeg,jpg,4069671,LOCAL,sample_data/attachments/CASE-000061/ATTACH_CASE-000061_0061.jpg,4cb31c8de9d88cbe79c6daf3dd9d3d6fabfa45f857f5b331359ad471e2b90bd5,2026-05-01T04:53:35.154115
ATT-000062,CASE-000062,DOC-000062,ATTACH_CASE-000062_0062.mp4,video/mp4,mp4,4063815,LOCAL,sample_data/attachments/CASE-000062/ATTACH_CASE-000062_0062.mp4,90fff61904c6d605c4ddf985000889e3c6d0bec933a7205394280243fd88c11f,2025-08-08T17:53:35.154143
ATT-000063,CASE-000063,DOC-000063,ATTACH_CASE-000063_0063.mp4,video/mp4,mp4,874868,LOCAL,sample_data/attachments/CASE-000063/ATTACH_CASE-000063_0063.mp4,c8486cc01c8d66c522aab1accead17adc8bb31a767947852a29c32bed2b7aa9f,2025-06-30T02:53:35.154185
ATT-000064,CASE-000064,DOC-000064,ATTACH_CASE-000064_0064.jpg,image/jpeg,jpg,4456227,LOCAL,sample_data/attachments/CASE-000064/ATTACH_CASE-000064_0064.jpg,878468394810b18310acf2413fb72fb95fe270576d8958f36a2717873cd0ec71,2025-06-17T00:53:35.154231
ATT-000065,CASE-000065,DOC-000065,ATTACH_CASE-000065_0065.mp3,audio/mpeg,mp3,3851291,LOCAL,sample_data/attachments/CASE-000065/ATTACH_CASE-000065_0065.mp3,82caf29309a80657327bb6afb04b56573491d72b0b4d4d4788347b17c37a8344,2025-07-19T15:53:35.154260
ATT-000066,CASE-000066,DOC-000066,ATTACH_CASE-000066_0066.mp4,video/mp4,mp4,3350117,LOCAL,sample_data/attachments/CASE-000066/ATTACH_CASE-000066_0066.mp4,1a3644953174602ae95ccb5d771c5bcb902439c6a88b0d147ad4df3966070dde,2026-07-20T18:53:35.154300
ATT-000067,CASE-000067,DOC-000067,ATTACH_CASE-000067_0067.mp3,audio/mpeg,mp3,3242697,LOCAL,sample_data/attachments/CASE-000067/ATTACH_CASE-000067_0067.mp3,3342201117d3c44a02527d63e556a074d8f51f58af72a88a69ef98f8f1d270bb,2026-08-08T14:53:35.154333
ATT-000068,CASE-000068,DOC-000068,ATTACH_CASE-000068_0068.jpg,image/jpeg,jpg,3630472,LOCAL,sample_data/attachments/CASE-000068/ATTACH_CASE-000068_0068.jpg,d60dc782e8295ca716f91a443f3d9833fc581c6a139e005305eb686c208213fb,2026-05-24T02:53:35.154362
ATT-000069,CASE-000069,DOC-000069,ATTACH_CASE-000069_0069.pdf,application/pdf,pdf,1115488,LOCAL,sample_data/attachments/CASE-000069/ATTACH_CASE-000069_0069.pdf,97f76c15e28ed93dc2b8d467100a15ac5bc12a927ea27c26e93c79db3f118e75,2025-11-03T06:53:35.154388
ATT-000070,CASE-000070,DOC-000070,ATTACH_CASE-000070_0070.pdf,application/pdf,pdf,2172771,LOCAL,sample_data/attachments/CASE-000070/ATTACH_CASE-000070_0070.pdf,c73cf1836f6230a94798101a229dc83d7ce77a7a0c8dc1019510927c3543b84e,2025-07-13T13:53:35.154413
ATT-000071,CASE-000071,DOC-000071,ATTACH_CASE-000071_0071.jpg,image/jpeg,jpg,3361513,LOCAL,sample_data/attachments/CASE-000071/ATTACH_CASE-000071_0071.jpg,79289648de53b6446e83e7bd5a12f2bc1adcf3bc64d60e173675946e892b6cab,2025-12-14T19:53:35.154441
ATT-000072,CASE-000072,DOC-000072,ATTACH_CASE-000072_0072.jpg,image/jpeg,jpg,4454761,LOCAL,sample_data/attachments/CASE-000072/ATTACH_CASE-000072_0072.jpg,80e77a5d8cb93c88b7ff17b6209af490d87dc24bb9163cf195b0878954ffc5e4,2025-11-09T02:53:35.154467
ATT-000073,CASE-000073,DOC-000073,ATTACH_CASE-000073_0073.mp4,video/mp4,mp4,3671973,LOCAL,sample_data/attachments/CASE-000073/ATTACH_CASE-000073_0073.mp4,67d1e635bcf1c7b4c516b750595795fdc849b633bf475ea68d922ffcb0ef9699,2025-08-15T07:53:35.154492
ATT-000074,CASE-000074,DOC-000074,ATTACH_CASE-000074_0074.mp3,audio/mpeg,mp3,982285,LOCAL,sample_data/attachments/CASE-000074/ATTACH_CASE-000074_0074.mp3,4d085aa19e216e63e99ed0106628a4e484024d74a10ddd42ab8b8ea6b0b22fd6,2025-11-29T04:53:35.154520
ATT-000075,CASE-000075,DOC-000075,ATTACH_CASE-000075_0075.pdf,application/pdf,pdf,3829975,LOCAL,sample_data/attachments/CASE-000075/ATTACH_CASE-000075_0075.pdf,6df994eee8340176d1fd559e8beb2a4d58168fa4678724dc3d35dbdbc43576c7,2025-06-29T14:53:35.154550
ATT-000076,CASE-000076,DOC-000076,ATTACH_CASE-000076_0076.jpg,image/jpeg,jpg,3149491,LOCAL,sample_data/attachments/CASE-000076/ATTACH_CASE-000076_0076.jpg,eb706e2552fe8be967f62f02b3c7c012924ff650561540d9a0281e9d1fc39bec,2025-05-02T01:53:35.154574
ATT-000077,CASE-000077,DOC-000077,ATTACH_CASE-000077_0077.jpg,image/jpeg,jpg,4357001,LOCAL,sample_data/attachments/CASE-000077/ATTACH_CASE-000077_0077.jpg,21a7f50d2b3af4cbdf31d4d64345d09660fb2ce5310bac05befe5567f25988bd,2025-07-18T08:53:35.154598
ATT-000078,CASE-000078,DOC-000078,ATTACH_CASE-000078_0078.mp3,audio/mpeg,mp3,4746190,LOCAL,sample_data/attachments/CASE-000078/ATTACH_CASE-000078_0078.mp3,4fa5121716911275c395db02d83993c11d7e8ee01a0f662d9db12ca665bf0abf,2026-04-15T05:53:35.154631
ATT-000079,CASE-000079,DOC-000079,ATTACH_CASE-000079_0079.jpg,image/jpeg,jpg,914997,LOCAL,sample_data/attachments/CASE-000079/ATTACH_CASE-000079_0079.jpg,a681418e9c41622c62ba6445ef1382e641be1a9b82ede30cec66f95310770d1b,2025-10-29T11:53:35.154658
ATT-000080,CASE-000080,DOC-000080,ATTACH_CASE-000080_0080.jpg,image/jpeg,jpg,966834,LOCAL,sample_data/attachments/CASE-000080/ATTACH_CASE-000080_0080.jpg,d2c4d2cb8d4f463d02d113a7d377cc58a80673f6d38154c12b2d77ac6529107a,2025-08-30T10:53:35.154682
ATT-000081,CASE-000081,DOC-000081,ATTACH_CASE-000081_0081.pdf,application/pdf,pdf,3440897,LOCAL,sample_data/attachments/CASE-000081/ATTACH_CASE-000081_0081.pdf,998e6b3d62d2ba022ecd34a7b2acba0b62707d291ae9d1d5f79be64c342c2c00,2025-11-05T20:53:35.154712
ATT-000082,CASE-000082,DOC-000082,ATTACH_CASE-000082_0082.mp3,audio/mpeg,mp3,1323755,LOCAL,sample_data/attachments/CASE-000082/ATTACH_CASE-000082_0082.mp3,3fd15ff3ae845a4233159420fb331be363d0ac78eaa534e21251946724bc6aa5,2026-02-14T09:53:35.154761
ATT-000083,CASE-000083,DOC-000083,ATTACH_CASE-000083_0083.jpg,image/jpeg,jpg,980493,LOCAL,sample_data/attachments/CASE-000083/ATTACH_CASE-000083_0083.jpg,c648960c7e8892ca8eb0060fbc5f1b16b3e91e327fed1992332381d55d297ead,2025-12-07T05:53:35.154789
ATT-000084,CASE-000084,DOC-000084,ATTACH_CASE-000084_0084.png,image/png,png,4401016,LOCAL,sample_data/attachments/CASE-000084/ATTACH_CASE-000084_0084.png,fd9f7687cc859d586158e7fd4e3d9a63269afd58df5a7938b73898e51763381f,2026-02-19T01:53:35.154827
ATT-000085,CASE-000085,DOC-000085,ATTACH_CASE-000085_0085.mp4,video/mp4,mp4,803249,LOCAL,sample_data/attachments/CASE-000085/ATTACH_CASE-000085_0085.mp4,c5e00e4cdbb1c1e31fc98a23c7dddb25c42511a29d56ad67d2cd022d2eb1e95f,2025-08-08T08:53:35.154854
ATT-000086,CASE-000086,DOC-000086,ATTACH_CASE-000086_0086.jpg,image/jpeg,jpg,3884302,LOCAL,sample_data/attachments/CASE-000086/ATTACH_CASE-000086_0086.jpg,2a23d9d57c232c80370d92bfea4b4a1d8a921bdac49f75349f517fb259f9fc6f,2026-04-05T18:53:35.154880
ATT-000087,CASE-000087,DOC-000087,ATTACH_CASE-000087_0087.mp4,video/mp4,mp4,2127810,LOCAL,sample_data/attachments/CASE-000087/ATTACH_CASE-000087_0087.mp4,d856eb6466ac09ec3712d439ad00e794f6e67f936a5d14cbb337bfaf17c143a3,2026-07-08T19:53:35.154904
ATT-000088,CASE-000088,DOC-000088,ATTACH_CASE-000088_0088.jpg,image/jpeg,jpg,1485341,LOCAL,sample_data/attachments/CASE-000088/ATTACH_CASE-000088_0088.jpg,d26fae66364137b9d04c21d88bde110a7ba705dbc4a5019f12faadb539363afc,2025-11-07T17:53:35.154968
ATT-000089,CASE-000089,DOC-000089,ATTACH_CASE-000089_0089.jpg,image/jpeg,jpg,2973420,LOCAL,sample_data/attachments/CASE-000089/ATTACH_CASE-000089_0089.jpg,50b9a13ad2264bd9f768a10ab0a756595b9e1187d040b69e8542e1e5c730f71e,2025-08-13T22:53:35.155013
